date	close
2013-12-19-16-22-53	1387488173.41
2013-12-19-16-22-55	1387488175.01
2013-12-19-16-22-56	1387488176.58
2013-12-19-16-22-59	1387488179.58
2013-12-19-16-23-03	1387488183.34
2013-12-19-16-23-04	1387488184.93
2013-12-19-16-23-06	1387488186.51
2013-12-19-16-23-08	1387488188.11
2013-12-19-16-23-09	1387488189.73
2013-12-19-16-23-11	1387488191.38
2013-12-19-16-23-12	1387488192.98
2013-12-19-16-23-14	1387488194.64
2013-12-19-16-23-16	1387488196.21
2013-12-19-16-23-17	1387488197.89
2013-12-19-16-23-19	1387488199.49
2013-12-19-16-23-21	1387488201.05
2013-12-19-16-23-22	1387488202.63
2013-12-19-16-23-24	1387488204.22
2013-12-19-16-23-26	1387488206.02
2013-12-19-16-23-27	1387488207.6
2013-12-19-16-23-29	1387488209.17
2013-12-19-16-23-30	1387488210.75
2013-12-19-16-23-32	1387488212.31
2013-12-19-16-23-33	1387488213.87
2013-12-19-16-23-35	1387488215.47
2013-12-19-16-23-37	1387488217.02
2013-12-19-16-23-38	1387488218.57
2013-12-19-16-23-40	1387488220.19
2013-12-19-16-23-41	1387488221.78
2013-12-19-16-23-43	1387488223.32
2013-12-19-16-23-45	1387488225.02
2013-12-19-16-23-52	1387488232.03
2013-12-19-16-23-53	1387488233.59
2013-12-19-16-23-55	1387488235.16
2013-12-19-16-23-56	1387488236.74
2013-12-19-16-23-58	1387488238.38
2013-12-19-16-24-49	1387488289.45
2013-12-19-16-24-50	1387488290.95
2013-12-19-16-24-52	1387488292.48
2013-12-19-16-24-55	1387488295.48
2013-12-19-16-24-57	1387488297.01
2013-12-19-16-24-58	1387488298.81
2013-12-19-16-25-00	1387488300.36
2013-12-19-16-25-01	1387488301.88
2013-12-19-16-25-03	1387488303.43
2013-12-19-16-25-04	1387488304.97
2013-12-19-16-25-07	1387488307.97
2013-12-19-16-25-09	1387488309.5
2013-12-19-16-25-11	1387488311.05
2013-12-19-16-25-12	1387488312.62
2013-12-19-16-25-14	1387488314.17
